vp;exp;time;X.Intercept.;lvls;sym
V1;3;164.5;-1.25289059317252;26.646333749614;0.105692035289947
V10;84;65.3;-1.25289059317252;26.646333749614;0.0528117116155608
V11;2;203.4;-1.25289059317252;26.646333749614;0.227059762146704
V2;39;95.5;-1.25289059317252;26.646333749614;0.0831245553427662
V3;132;88.1;-1.25289059317252;26.646333749614;0.0613699170941426
V4;4;165.3;-1.25289059317252;26.646333749614;0.0923362770687856
V5;9;213.5;-1.25289059317252;26.646333749614;0.0601127309827133
V6;27;127.3;-1.25289059317252;26.646333749614;0.130672700722622
V7;87;68.9;-1.25289059317252;26.646333749614;0.0537050588157829
V8;84;76.2;-1.25289059317252;26.646333749614;0.0601688005331866
V9;72;67.28;-1.25289059317252;26.646333749614;0.0123094913044998
