vp;exp;eq;lvls;sym;time;filter
V2;39;2;1;584;58;0
V2;39;2;2;738;90;0
V2;39;6;1;634;90;0
V2;39;10;2;1452;195;0
V2;39;0;0;171;27;0
V2;39;7;1;1071;92;0
V2;39;4;0;489;30;0
V2;39;2;0;566;48;0
V2;39;7;2;1514;245;0
V2;39;2;1;1285;80;0
V1;3;7;2;1514;745;1
V1;3;2;1;1285;255;0
V1;3;2;1;584;105;0
V1;3;2;2;738;115;0
V1;3;6;1;634;55;0
V1;3;10;2;1452;245;0
V1;3;0;0;171;10;0
V1;3;7;1;1071;40;0
V1;3;4;0;489;30;0
V1;3;2;0;566;45;0
V3;132;6;1;634;43;0
V3;132;10;2;1452;80;0
V3;132;0;0;171;17;0
V3;132;7;1;1071;83;0
V3;132;4;0;489;122;1
V3;132;2;0;566;54;0
V3;132;7;2;1514;215;0
V3;132;2;1;1285;110;0
V3;132;2;1;584;44;0
V3;132;2;2;738;113;0
V4;4;0;0;171;65;0
V4;4;7;1;1071;136;0
V4;4;4;0;489;165;0
V4;4;2;0;566;104;0
V4;4;7;2;1514;185;0
V4;4;2;1;1285;62;0
V4;4;2;1;584;74;0
V4;4;2;2;738;75;0
V4;4;6;1;634;190;0
V4;4;10;2;1452;597;1
V5;9;4;0;489;57;0
V5;9;2;0;566;65;0
V5;9;7;2;1514;414;1
V5;9;2;1;1285;80;0
V5;9;2;1;584;110;0
V5;9;2;2;738;85;0
V5;9;6;1;634;47;0
V5;9;10;2;1452;1018;1
V5;9;0;0;171;28;0
V5;9;7;1;1071;231;1
V6;27;2;0;566;48;0
V6;27;4;0;489;34;0
V6;27;7;1;1071;163;0
V6;27;0;0;171;41;0
V6;27;10;2;1452;317;0
V6;27;6;1;634;37;0
V6;27;2;2;738;113;0
V6;27;2;1;584;47;0
V6;27;2;1;1285;141;0
V6;27;7;2;1514;332;0
V7;87;7;1;1071;72;0
V7;87;0;0;171;19;0
V7;87;10;2;1452;139;0
V7;87;6;1;634;35;0
V7;87;2;2;738;75;0
V7;87;2;1;584;38;0
V7;87;2;1;1285;32;0
V7;87;7;2;1514;217;0
V7;87;2;0;566;29;0
V7;87;4;0;489;33;0
V10;84;2;1;1285;28;0
V10;84;7;2;1514;104;0
V10;84;2;0;566;52;0
V10;84;4;0;489;29;0
V10;84;7;1;1071;29;0
V10;84;0;0;171;13;0
V10;84;10;2;1452;306;0
V10;84;6;1;634;28;0
V10;84;2;2;738;39;0
V10;84;2;1;584;25;0
V9;72;2;2;738;42,6;0
V9;72;2;1;584;11,3;0
V9;72;2;1;1285;41,3;0
V9;72;7;2;1514;82,9;0
V9;72;2;0;566;32,1;0
V9;72;4;0;489;37;0
V9;72;7;1;1071;22,3;0
V9;72;0;0;171;18,7;0
V9;72;10;2;1452;360;1
V9;72;6;1;634;24,6;0
V8;84;10;2;1452;132;0
V8;84;6;1;634;29;0
V8;84;2;2;738;82;0
V8;84;2;1;584;37;0
V8;84;2;1;1285;107;0
V8;84;7;2;1514;149;0
V8;84;2;0;566;113;0
V8;84;4;0;489;54;0
V8;84;7;1;1071;43;1
V8;84;0;0;171;16;0
V8b;72;10;2;1452;90;0
V8b;72;6;1;634;30;0
V8b;72;2;2;738;60;0
V8b;72;2;1;584;30;0
V8b;72;2;1;1285;75;0
V8b;72;7;2;1514;150;0
V8b;72;2;0;566;105;0
V8b;72;4;0;489;30;0
V8b;72;7;1;1071;30;0
V8b;72;0;0;171;15;0
V11;2;7;2;1514;567;0
V11;2;2;1;1285;332;0
V11;2;2;1;584;12;0
V11;2;2;2;738;123;0
V11;2;6;1;634;185;0
V11;2;10;2;1452;442;0
V11;2;0;0;171;32;0
V11;2;7;1;1071;146;0
V11;2;4;0;489;118;0
V11;2;2;0;566;77;0
